"PC1","PC2","PC3","PC4"
-0.140387911537064,-0.0113665486391685,0.0121564367777233,-0.00393859233395158
0.134938188265931,0.00292147624029341,0.0130763675644604,4.72358543029982e-06
-0.128320668499544,-0.0269255434286062,0.0165757407508035,0.014047806938894
0.135342452197461,-0.00422178201843927,-0.0180663360058472,0.000365574500336401
-0.133325327441395,-0.00524714999812111,-0.0105345627638294,-0.00769331178144437
-0.131250153406535,-0.0455157202825356,-0.0287454814210647,-0.0164905353546563
-0.128684707272117,-0.0347704417640709,0.00571529260836202,-0.00194737593005444
0.13447654283397,-0.01209208487169,-0.0161199413919483,0.00547370395232524
-0.1438345937947,0.000843668970363205,0.00745479098674517,-0.000640612920001608
-0.116338802135558,-0.0246992213520571,0.0118872038684843,-0.00309616565742432
-0.111206856708363,-0.0172870170944411,-0.014086098065462,-0.00281556576485995
0.136935404181772,-0.00182284328685892,-0.0129329518752802,0.00109737708893306
0.13585024243818,-0.00170290181804031,-0.0145595894215547,0.00278103509487042
0.149582219349504,-0.00128389887516428,0.00958682453894487,0.0132023088163502
0.137301876616254,-0.00861886826831571,0.00291521064245915,0.00754796155554004
0.138929942520423,0.0137281219110076,0.012941901361132,-0.0192208004899267
-0.114534786182904,0.0622731167069555,-0.0184092585734973,-0.0036279574414768
-0.124357711460703,-0.00706324305739554,0.021604039371483,0.00553289061671973
0.137392315857232,-0.00280043365672723,0.00404548324395492,0.00579670070334287
0.13318066692607,0.018625730345577,0.0232118534605924,-0.0253306024556452
0.144087792260438,0.00416516808446476,0.0103378213102642,-0.000999331604359045
0.138238419272298,-0.0101681050972071,-0.0136919068708355,0.00837568258425629
-0.126352707801606,0.06828067366554,-0.0159155497829016,0.00397128102512584
-0.125131571457353,0.0541545710148948,0.0134748300681735,0.00798185546213207
-0.132530265021689,-0.00940672343025735,-0.001922120381362,0.00962194980954388
